identifier,oldname,newname,enddate
840,Tate Gallery:Master:2014,Tate Gallery:Master,2100-01-01
915,Tatler Publishing Company:Master:2014,Tatler Publishing Company:Master,2100-01-01
957,Taylor & Francis:Master:2014,Taylor & Francis:Master,2100-01-01
885,Telegraph Media Group:Master:2014,Telegraph Media Group:Master,2100-01-01
841,Televisual Media:Master:2014,Televisual Media:Master,2100-01-01
449,Ten Alps Publishing:Master:2014,Ten Alps Publishing:Master,2100-01-01
539,The Endocrine Society:Master:2014,The Endocrine Society:Master,2100-01-01
896,The Financial Times Limited:Master:2014,The Financial Times Limited:Master,2100-01-01
437,The MIT Press:Master:2014,The MIT Press:Master,2100-01-01
933,The Nautical Institute:Master:2014,The Nautical Institute:Master,2100-01-01
916,The Royal Navy:Master:2014,The Royal Navy:Master,2100-01-01
842,Time Inc:Master:2014,Time Inc:Master,2100-01-01
843,Times Supplements:Master:2014,Times Supplements:Master,2100-01-01
872,Tindle Newspaper Group:Master:2014,Tindle Newspaper Group:Master,2100-01-01
844,Tourism Society:Master:2014,Tourism Society:Master,2100-01-01
937,Travelscope:Master:2014,Travelscope:Master,2100-01-01
845,Trojan Projects:Master:2014,Trojan Projects:Master,2100-01-01
846,TRP Magazines:Master:2014,TRP Magazines:Master,2100-01-01
847,TSL Education:Master:2014,TSL Education:Master,2100-01-01
